"id"	"v_num"	"v_filename"	"v_titleEnhanced_en"	"v_abstractEnhanced_en"	"v_abstractDocumentation_en"
"72"	"72"	"Patent Document 0002304608.zip"	"Hydrocarbon feedstock processing method involves bringing feedstock into contact with regenerable catalyst which has crystalline silicate or silicate or identically composed zeolite and obtained product is separated after cooling HYDROCARBON FEEDSTOCK PROCESS METHOD CONTACT CATALYST CRYSTAL SILICATE IDENTICAL COMPOSE ZEOLITE OBTAIN PRODUCT SEPARATE AFTER COOLING Hydrocarbon feedstock processing method involves bringing feedstock into contact with regenerable catalyst which has crystalline silicate or silicate or identically composed zeolite and obtained product is separated after cooling"	"Group of inventions relates to processing of hydrocarbon feedstock having dry point from 140 to 400degreesC and is intended for production of fuel fractions (gasoline, kerosene, and/or diesel) on solid catalysts. In first embodiment of invention, processing involves bringing feedstock into contact with regenerable catalyst at 250-500degreesC, pressure 0.1-4 MPa, and feedstock weight supply rate up to 10 h-1, said catalyst containing (i) crystalline silicate or ZSM-5 or ZSM-14-type zeolite having general empiric formula: (0.02-0.35)Na2O-E2O3-(27-300)SiO2-kH2O), where E represents at least one element from the series: Al, Ga, B, and Fe and k is coefficient corresponding to water capacity; or (ii) silicate or identically composed zeolite and at least one group I-VIII element and/or compound thereof in amount 0.001 to 10.0 % by weight. Reaction product is separated after cooling through simple separation and/or rectification into fractions: hydrocarbon gas, gasoline, kerosene, and/or diesel fractions, after which catalyst is regenerated by oxygen-containing gas at 350-600degreesC and pressure 0.1-4 MPa. Hydrocarbon feedstock utilized comprises (i) long hydrocarbon fraction boiling away up to 400degreesC and composed, in particular, of isoparaffins and naphtenes in summary amount 54-58.1%, aromatic hydrocarbons in amount 8.4-12.7%, and n-paraffins in balancing amount; or (ii) long hydrocarbon fraction boiling away up to 400degreesC and composed, in particular, of following fractions, degreesC: 43-195, 151-267, 130-364, 168-345, 26-264, 144-272. In second embodiment, feedstock boiling away up to 400degreesC is processed in presence of hydrogen at H2/hydrocarbons molar ratio between 0.1 and 10 by bringing feedstock into contact with regenerable catalyst at 250-500degreesC, elevated pressure, and feedstock weight supply rate up to 10 h-1, said catalyst containing zeolite having structure ZSM-12, and/or beta, and/or omega, and/or zeolite L. and/or mordenite, and/or crystalline elemento-aluminophosphate and at least one group I-VIII element and/or compound thereof in amount 0.05 to 20.0 % by weight. Again, reaction product is separated after cooling through simple separation and/or rectification into fractions: hydrocarbon gas, gasoline, kerosene, and/or diesel fractions, after which catalyst is regenerated by oxygen-containing gas at 350-600degreesC and pressure 0.1-6 MPa. Petrochemical processes. Improved flexibility of process and enlarged assortment of raw materials and target products.12 cl, 3 tbl, 22 ex Group of inventions relates to processing of hydrocarbon feedstock having dry point from 140 to 400°C and is intended for production of fuel fractions (gasoline, kerosene, and/or diesel) on solid catalysts. In first embodiment of invention, processing involves bringing feedstock into contact with regenerable catalyst at 250-500°C, pressure 0.1-4 MPa, and feedstock weight supply rate up to 10 h-1, said catalyst containing (i) crystalline silicate or ZSM-5 or ZSM-14-type zeolite having general empiric formula: (0.02-0.35)Na2O-E2O3-(27-300)SiO2-kH2O), where E represents at least one element from the series: Al, Ga, B, and Fe and k is coefficient corresponding to water capacity; or (ii) silicate or identically composed zeolite and at least one group I-VIII element and/or compound thereof in amount 0.001 to 10.0 % by weight. Reaction product is separated after cooling through simple separation and/or rectification into fractions: hydrocarbon gas, gasoline, kerosene, and/or diesel fractions, after which catalyst is regenerated by oxygen-containing gas at 350-600°C and pressure 0.1-4 MPa. Hydrocarbon feedstock utilized comprises (i) long hydrocarbon fraction boiling away up to 400°C and composed, in particular, of isoparaffins and naphtenes in summary amount 54-58.1%, aromatic hydrocarbons in amount 8.4-12.7%, and n-paraffins in balancing amount; or (ii) long hydrocarbon fraction boiling away up to 400°C and composed, in particular, of following fractions, °C: 43-195, 151-267, 130-364, 168-345, 26-264, 144-272. In second embodiment, feedstock boiling away up to 400°C is processed in presence of hydrogen at H2/hydrocarbons molar ratio between 0.1 and 10 by bringing feedstock into contact with regenerable catalyst at 250-500°C, elevated pressure, and feedstock weight supply rate up to 10 h-1, said catalyst containing zeolite having structure ZSM-12, and/or beta, and/or omega, and/or zeolite L. and/or mordenite, and/or crystalline elemento-aluminophosphate and at least one group I-VIII element and/or compound thereof in amount 0.05 to 20.0 % by weight. Again, reaction product is separated after cooling through simple separation and/or rectification into fractions: hydrocarbon gas, gasoline, kerosene, and/or diesel fractions, after which catalyst is regenerated by oxygen-containing gas at 350-600°C and pressure 0.1-6 MPa. Petrochemical processes. Improved flexibility of process and enlarged assortment of raw materials and target products.12 cl, 3 tbl, 22 ex"	""
"73"	"73"	"Patent Document 0002311959.zip"	"Catalyst, carrier preparation method, catalyst preparation method, and diesel fraction hydrodesulfurization process CATALYST CARRY PREPARATION METHOD DIESEL FRACTION HYDRODESULPHURISATION PROCESS Catalyst, carrier preparation method, catalyst preparation method, and diesel fraction hydrodesulfurization process"	"Invention relates to catalysts for deep hydrofining of hydrocarbon feedstock, in particular diesel fractions, to remove sulfur compounds. Invention, in particular, provides catalyst for hydrodesulfurization of diesel fractions including active component selected from group VIII and VIB metal oxides dispersed on alumina carrier, which is, in particular, composed of aluminum oxides, 85-95%, and H form or cation-substituted form of zeolite ZSM-5, mordenite, zeolite BEA, or zeolite Y, 5-15%. Active component is selected from oxides of molybdenum and cobalt and/or nickel. Carrier preparation method comprises precipitation of aluminum hydroxide, incorporation of zeolite in H form or cation-substituted form in amount 5-15% (based on final product) and peptizing agent into aluminum hydroxide powder, extrusion of resulting mixture, drying, and calcination at 450-600degreesC. Preparation of catalyst includes impregnation of above-defined carrier with complex solution of group VIII and VI metal salts in air or nitrogen flow at temperature not higher than 200degreesC. Diesel fraction hydrodesulfurization process is also described. Petroleum processing catalysts. Enhanced purification of diesel fractions.10 cl, 2 tbl, 14 ex Invention relates to catalysts for deep hydrofining of hydrocarbon feedstock, in particular diesel fractions, to remove sulfur compounds. Invention, in particular, provides catalyst for hydrodesulfurization of diesel fractions including active component selected from group VIII and VIB metal oxides dispersed on alumina carrier, which is, in particular, composed of aluminum oxides, 85-95%, and H form or cation-substituted form of zeolite ZSM-5, mordenite, zeolite BEA, or zeolite Y, 5-15%. Active component is selected from oxides of molybdenum and cobalt and/or nickel. Carrier preparation method comprises precipitation of aluminum hydroxide, incorporation of zeolite in H form or cation-substituted form in amount 5-15% (based on final product) and peptizing agent into aluminum hydroxide powder, extrusion of resulting mixture, drying, and calcination at 450-600°C. Preparation of catalyst includes impregnation of above-defined carrier with complex solution of group VIII and VI metal salts in air or nitrogen flow at temperature not higher than 200°C. Diesel fraction hydrodesulfurization process is also described. Petroleum processing catalysts. Enhanced purification of diesel fractions.10 cl, 2 tbl, 14 ex"	""
"74"	"74"	"Patent Document 0002312886.zip"	"Diesel fuel production process, consists in conversion of straight-run diesel fuel having high sulfur level in presence of preliminarily sulfidized heterogeneous catalyst DIESEL FUEL PRODUCE PROCESS CONSIST CONVERT STRAIGHT RUN HIGH SULPHUR LEVEL PRESENCE PRELIMINARY HETEROGENEOUS CATALYST Diesel fuel production process, consists in conversion of straight-run diesel fuel having high sulfur level in presence of preliminarily sulfidized heterogeneous catalyst"	"Object of invention is production of low-sulfur diesel fuels from high sulfur-level hydrocarbon feedstock. Proposed process consists in conversion of straight-run diesel fuel having high sulfur level in presence of preliminarily sulfidized heterogeneous catalyst containing group VIII metal and group VIB metal deposited on alumina characterized by pore volume 0.3-0.7 mL/g, specific surface area 200-350 m2/g, and average pore diameter 9-13 nm. Prior to be sulfidized, catalyst has following components: cobalt compounds in concentration 2.5-7.5% calculated as CoO; molybdenum compounds, 12-25% as MoO3; citric acid derivatives, 15-35% as citric acid; boron compounds, 0.5-3% as B2O3; and alumina, the balance. Process is conducted at 320-370degreesC, pressure 0.5-10 MPa, feedstock weight rate 0.5-5 h-1, and hydrogen-to-feedstock volume ratio 100-1000. Petroleum processing. Reduced sulfur level in diesel fuel to less than 50 ppm.3 cl, 1 tbl, 8 ex Object of invention is production of low-sulfur diesel fuels from high sulfur-level hydrocarbon feedstock. Proposed process consists in conversion of straight-run diesel fuel having high sulfur level in presence of preliminarily sulfidized heterogeneous catalyst containing group VIII metal and group VIB metal deposited on alumina characterized by pore volume 0.3-0.7 mL/g, specific surface area 200-350 m2/g, and average pore diameter 9-13 nm. Prior to be sulfidized, catalyst has following components: cobalt compounds in concentration 2.5-7.5% calculated as CoO; molybdenum compounds, 12-25% as MoO3; citric acid derivatives, 15-35% as citric acid; boron compounds, 0.5-3% as B2O3; and alumina, the balance. Process is conducted at 320-370°C, pressure 0.5-10 MPa, feedstock weight rate 0.5-5 h-1, and hydrogen-to-feedstock volume ratio 100-1000. Petroleum processing. Reduced sulfur level in diesel fuel to less than 50 ppm.3 cl, 1 tbl, 8 ex"	""
"75"	"75"	"Patent Document 0002313389.zip"	"Catalyst, method for preparation thereof, method for preparing carrier for this catalyst, and diesel fraction desulfurization process CATALYST METHOD PREPARATION CARRY DIESEL FRACTION DESULPHURISE PROCESS Catalyst, method for preparation thereof, method for preparing carrier for this catalyst, and diesel fraction desulfurization process"	"Invention relates to catalysts for extensive hydrofining of hydrocarbon stock, in particular diesel fractions, to remove sulfur compounds. Catalyst of invention, intended for diesel fraction desulfurization processes, comprises active component, selected from oxides of group VIII and VIB metals and phosphorus, dispersed on alumina support, said alumina support containing 5-15% of montmorillonite, so that total composition of catalyst is as follows, wt %: molybdenum oxide MoO3 14.0-29.0, cobalt oxide CoO and/or nickel oxide 3-8, phosphorus 0.1-0.5, and support - the balance, molar ratio Mo/Co and/or Mo/Ni being 1.3-2.6 and P/Mo 0.08-0.1. Preparation of catalyst support consists in precipitation of aluminum hydroxide and addition of montmorillonite with moisture content 55-70% to water dispersion of aluminum hydroxide in amount such as to ensure 5-15% of montmorillonite in finished product, after which resulting mixture is extruded and extrudate is calcined at 500-600 degrees C to give support characterized by specific surface 200-300 m2/g, pore volume 0.5-0.9 cm3/g, and prevailing pore radius 80-120 Angstrom . Catalyst preparation comprises impregnation of calcined support with complex solution of group VIII and VIB metal salts and phosphorus followed by heat treatment in air or nitrogen flow at temperature not exceeding 200 degrees C, impregnation solution notably containing molybdenum oxide and cobalt and/or nickel carbonate at Mo/Co and/or Mo/Ni molar ratio 1.3-2.6 stabilized with orthophosphoric acid and citric acid to P/Mo molar ratio between 0.008 and 0.1 at medium pH between 1.3 and 3.5. Described is also diesel fraction hydrodesulfurization process involving passage of diesel fraction through bed of above-defined catalyst. Catalysts in petroleum processing and petrochemistry. Intensified diesel fraction desulfurization.9 cl, 3 tbl, 19 ex Invention relates to catalysts for extensive hydrofining of hydrocarbon stock, in particular diesel fractions, to remove sulfur compounds. Catalyst of invention, intended for diesel fraction desulfurization processes, comprises active component, selected from oxides of group VIII and VIB metals and phosphorus, dispersed on alumina support, said alumina support containing 5-15% of montmorillonite, so that total composition of catalyst is as follows, wt %: molybdenum oxide MoO3 14.0-29.0, cobalt oxide CoO and/or nickel oxide 3-8, phosphorus 0.1-0.5, and support - the balance, molar ratio Mo/Co and/or Mo/Ni being 1.3-2.6 and P/Mo 0.08-0.1. Preparation of catalyst support consists in precipitation of aluminum hydroxide and addition of montmorillonite with moisture content 55-70% to water dispersion of aluminum hydroxide in amount such as to ensure 5-15% of montmorillonite in finished product, after which resulting mixture is extruded and extrudate is calcined at 500-600°C to give support characterized by specific surface 200-300 m2/g, pore volume 0.5-0.9 cm3/g, and prevailing pore radius 80-120 <U+212B>. Catalyst preparation comprises impregnation of calcined support with complex solution of group VIII and VIB metal salts and phosphorus followed by heat treatment in air or nitrogen flow at temperature not exceeding 200°C, impregnation solution notably containing molybdenum oxide and cobalt and/or nickel carbonate at Mo/Co and/or Mo/Ni molar ratio 1.3-2.6 stabilized with orthophosphoric acid and citric acid to P/Mo molar ratio between 0.008 and 0.1 at medium pH between 1.3 and 3.5. Described is also diesel fraction hydrodesulfurization process involving passage of diesel fraction through bed of above-defined catalyst. Catalysts in petroleum processing and petrochemistry. Intensified diesel fraction desulfurization.9 cl, 3 tbl, 19 ex"	""
"76"	"76"	"Patent Document 0002313390.zip"	"Catalyst, method of preparation thereof (variants), and diesel fraction hydrodesulfurization process CATALYST METHOD PREPARATION VARIANT DIESEL FRACTION HYDRODESULPHURISATION PROCESS Catalyst, method of preparation thereof (variants), and diesel fraction hydrodesulfurization process"	"Proposed catalyst is composed of 12.0-25.0% MoO3, 3.3-6.5% CoO, 0.5-1.0% P2O5, and Al2O3 to the balance. Catalyst preparation comprises one- or two-step impregnation of support with solution obtained by mixing solutions of ammonium paramolybdate, cobalt nitrate, phosphoric and citric acids taken at ratios P/Mo = 0.06-0.15 and citric acid monohydrate/Co = 1plus minus0.1, or mixing solutions of ammonium paramolybdate and phosphoric acid at ratio P/Mo 0.06-0.15 and cobalt acetate followed by drying and calcination stages. Diesel fraction hydrodesulfurization process is carried out in presence of above-defined catalyst at 340-360degreesC and H2-to-feedstock ratio = 500. Catalysts in petroleum processing and petrochemistry. Intensified diesel fraction desulfurization.7 cl, 2 tbl, 13 ex Proposed catalyst is composed of 12.0-25.0% MoO3, 3.3-6.5% CoO, 0.5-1.0% P2O5, and Al2O3 to the balance. Catalyst preparation comprises one- or two-step impregnation of support with solution obtained by mixing solutions of ammonium paramolybdate, cobalt nitrate, phosphoric and citric acids taken at ratios P/Mo = 0.06-0.15 and citric acid monohydrate/Co = 1±0.1, or mixing solutions of ammonium paramolybdate and phosphoric acid at ratio P/Mo 0.06-0.15 and cobalt acetate followed by drying and calcination stages. Diesel fraction hydrodesulfurization process is carried out in presence of above-defined catalyst at 340-360°C and H2-to-feedstock ratio = 500. Catalysts in petroleum processing and petrochemistry. Intensified diesel fraction desulfurization.7 cl, 2 tbl, 13 ex"	""
"77"	"77"	"Patent Document 0002313392.zip"	"Diesel fraction hydrodesulfurization catalyst and a method for preparation thereof DIESEL FRACTION HYDRODESULPHURISATION CATALYST METHOD PREPARATION Diesel fraction hydrodesulfurization catalyst and a method for preparation thereof"	"Invention relates to catalysts for production of low-sulfur motor fuels and methods for preparing such catalysts. Hydrodesulfurization catalyst according to invention is characterized by pore volume 0.3-0.7 mL/g, specific surface 200-350 m2/g, and average pore diameter 9-13 nm and containing following components, wt %: cobalt compounds (calculated as CoO) 2.5-7.5, molybdenum compounds (as MoO3), citric acid 15-35, boron compounds (as B2O3) 0.5-3.0, aluminum oxide - the rest, cobalt, molybdenum, citric acid, and boron optionally being part of complex compound having different stoichiometry. Catalyst is prepared by impregnating catalyst support with impregnation solution obtained by dissolving, in water or aqueous solution, following compounds: citric acid, ammonium paramolybdate (NH4)6Mo7O24.4H2O, at least one cobalt compound, and at least boron compound, addition order and component dissolution conditions being such as to provide formation of complex compounds, whereas concentration of components in solution is selected such that catalyst obtained after drying would contain components in above-indicated concentrations. Petroleum processing catalysts. Maximized activity of desired reactions ensuring production of diesel fuels with sulfur level below 50 ppm.9 cl, 8 ex Invention relates to catalysts for production of low-sulfur motor fuels and methods for preparing such catalysts. Hydrodesulfurization catalyst according to invention is characterized by pore volume 0.3-0.7 mL/g, specific surface 200-350 m2/g, and average pore diameter 9-13 nm and containing following components, wt %: cobalt compounds (calculated as CoO) 2.5-7.5, molybdenum compounds (as MoO  3 ), citric acid 15-35, boron compounds (as B  2 O  3 ) 0.5-3.0, aluminum oxide - the rest, cobalt, molybdenum, citric acid, and boron optionally being part of complex compound having different stoichiometry. Catalyst is prepared by impregnating catalyst support with impregnation solution obtained by dissolving, in water or aqueous solution, following compounds: citric acid, ammonium paramolybdate (NH  4 )  6 Mo  7 O  24 .4H  2 O, at least one cobalt compound, and at least boron compound, addition order and component dissolution conditions being such as to provide formation of complex compounds, whereas concentration of components in solution is selected such that catalyst obtained after drying would contain components in above-indicated concentrations. Petroleum processing catalysts. Maximized activity of desired reactions ensuring production of diesel fuels with sulfur level below 50 ppm.9 cl, 8 ex"	""
"78"	"78"	"Patent Document 0002314154.zip"	"Catalyst, method of preparation thereof, and a diesel fraction hydrodesulfurization process CATALYST METHOD PREPARATION DIESEL FRACTION HYDRODESULPHURISATION PROCESS Catalyst, method of preparation thereof, and a diesel fraction hydrodesulfurization process"	"Invention relates to catalysts for deep processing of hydrocarbon stock and can be employed in petroleum processing and petrochemical industries. Particularly, invention provides catalyst for diesel fraction hydrodesulfurization process, which contains, as active component, oxygen-containing molybdenum and cobalt and/or nickel complex compound at Mo/(Co+Ni) atomic ratio 1.5-2.5 and is characterized by specific surface 100-190 m2/g, pore volume 0.3-0.5 cm3/g, prevailing pore radius 80-120 Angstrom . Catalyst support is constituted by alumina or alumina supplemented with silica or montmorillonite. Described are also catalyst preparation procedure and diesel fraction hydrodesulfurization process. Petroleum processing catalysts. Increased catalytic activity and resistance of catalyst against deactivation in presence of diesel fuel hydrocarbon components and sulfur compound of thiophene and its derivatives series.8 cl, 1 tbl, 7 ex Invention relates to catalysts for deep processing of hydrocarbon stock and can be employed in petroleum processing and petrochemical industries. Particularly, invention provides catalyst for diesel fraction hydrodesulfurization process, which contains, as active component, oxygen-containing molybdenum and cobalt and/or nickel complex compound at Mo/(Co+Ni) atomic ratio 1.5-2.5 and is characterized by specific surface 100-190 m 2 /g, pore volume 0.3-0.5 cm 3 /g, prevailing pore radius 80-120 <U+212B>. Catalyst support is constituted by alumina or alumina supplemented with silica or montmorillonite. Described are also catalyst preparation procedure and diesel fraction hydrodesulfurization process. Petroleum processing catalysts. Increased catalytic activity and resistance of catalyst against deactivation in presence of diesel fuel hydrocarbon components and sulfur compound of thiophene and its derivatives series.8 cl, 1 tbl, 7 ex"	""
"79"	"79"	"Patent Document 0002316579.zip"	""	""	""
"80"	"80"	"Patent Document 0002323779.zip"	""	""	""
"81"	"81"	"Patent Document 0002342994.zip"	"Catalyst, method of its preparation (versions) and process of hydrodesulphurisation of diesel fractions CATALYST METHOD PREPARATION VERSION PROCESS HYDRODESULPHURISATION DIESEL FRACTION Catalyst, method of its preparation (versions) and process of hydrodesulphurisation of diesel fractions"	"Catalysts are intended for deep hydropurification of Diesel fractions from sulphureous compounds and can be used in oil-refining and oil-chemical industry. Catalyst for process of Diesel fraction hydrodesulphurisation has following composition, wt %: molybdenum oxide MoO3 16.0-29.0, cobalt oxide CoO and/or nickel oxide - 3-8, and phosphorus - 0.1-0.5, uranium oxide 1-15, carrier - the remaining part, atomic ratio Mo/Co(Ni) and P/Mo within 1.8-2.6 and 0.08-0.15, respectively. Method of obtaining catalyst (versions) includes successive or simultaneous impregnation of oxide carrier with solution of uranyl nitrate or acetate and complex solution of salts of metals of VIII and VI groups of periodic system with further thermal processing in flow of air or nitrogen at temperature not higher than 240 degrees C. Process of Diesel fraction hydrodesulphurization is carried out under the following conditions: partial hydrogen pressure 3.5 MPa, temperature 300-370 degrees C, weight liquid consumption 2 hour-1, volume ratio hydrogen/fuel 300-500 in presence of catalyst of said composition or obtained by invention methods. Chemistry. Deep purification of Diesel fractions, catalyst stability, its resistance to deactivation.9 cl, 17 ex, 2 tbl Catalysts are intended for deep hydropurification of Diesel fractions from sulphureous compounds and can be used in oil-refining and oil-chemical industry. Catalyst for process of Diesel fraction hydrodesulphurisation has following composition, wt %: molybdenum oxide MoO3 16.0-29.0, cobalt oxide CoO and/or nickel oxide - 3-8, and phosphorus - 0.1-0.5, uranium oxide 1-15, carrier - the remaining part, atomic ratio Mo/Co(Ni) and P/Mo within 1.8-2.6 and 0.08-0.15, respectively. Method of obtaining catalyst (versions) includes successive or simultaneous impregnation of oxide carrier with solution of uranyl nitrate or acetate and complex solution of salts of metals of VIII and VI groups of periodic system with further thermal processing in flow of air or nitrogen at temperature not higher than 240°C. Process of Diesel fraction hydrodesulphurization is carried out under the following conditions: partial hydrogen pressure 3.5 MPa, temperature 300-370°C, weight liquid consumption 2 hour-1, volume ratio hydrogen/fuel 300-500 in presence of catalyst of said composition or obtained by invention methods. Chemistry. Deep purification of Diesel fractions, catalyst stability, its resistance to deactivation.9 cl, 17 ex, 2 tbl"	""
"82"	"82"	"Patent Document 0002351394.zip"	""	""	""
"83"	"83"	"Patent Document 0002352394.zip"	"Method of activating catalyst of oil fraction hydropurification METHOD ACTIVATE CATALYST OIL FRACTION Method of activating catalyst of oil fraction hydropurification"	"Catalyst is processed with sulphiding agent, which includes sulphur-organic compound and oil fraction, in particular 1.0-2.0%-solution of dimethyldisulphide in Diesel fuel, dimethyldisulphide being introduced into Diesel fuel step-by-step; thermoprocessing of catalyst being carried out as step-by-step increase of temperature within the interval 160-340C, after which temperature is reduced to 28-290C, with general activation duration 20-30 hours. Chemistry. Reduction of equipment corrosion with sulphur oxides, obtaining ecologically pure, low-sulphureous Diesel fuel, polycyclic aromatic hydrocarbons in small amount, increasing degree of unlimited hydrocarbons and reduction of gumming-up of main hydropurification catalyst. 3 cl, 6 ex, 1 tbl Catalyst is processed with sulphiding agent, which includes sulphur-organic compound and oil fraction, in particular 1.0-2.0%-solution of dimethyldisulphide in Diesel fuel, dimethyldisulphide being introduced into Diesel fuel step-by-step; thermoprocessing of catalyst being carried out as step-by-step increase of temperature within the interval 160-340C, after which temperature is reduced to 28-290C, with general activation duration 20-30 hours. Chemistry. Reduction of equipment corrosion with sulphur oxides, obtaining ecologically pure, low-sulphureous Diesel fuel, polycyclic aromatic hydrocarbons in small amount, increasing degree of unlimited hydrocarbons and reduction of gumming-up of main hydropurification catalyst. 3 cl, 6 ex, 1 tbl"	""
"84"	"84"	"Patent Document 0002362623.zip"	""	""	""
"85"	"85"	"Patent Document 0002362797.zip"	""	""	""
"86"	"86"	"Patent Document 0002376062.zip"	"Method of preparing catalyst and method of producing diesel fuel using said catalyst METHOD PREPARATION CATALYST PRODUCE DIESEL FUEL Method of preparing catalyst and method of producing diesel fuel using said catalyst"	"Invention relates to a method of producing engine fuel, more specifically to a catalyst process of producing diesel fuel with improved temperature characteristics from crude oil. A method is described for preparing a catalyst for producing diesel fuel from natural raw material based on crystalline silico aluminophosphates with zeolite-like structure of the SAPO-31 type by preparing an aqeous reaction mixture which contains an aluminium source, phosphoric acid and a silicon source, as well as an organic structure forming compound, and with total composition expressed in molar ratios: R/Al2O3=0.5-2.0, P2O5/Al2O3=0.8-1.2, SiO2/Al2O3=0.05-1.5, H2O/Al2O3=15-200, where: R is an organic structure forming compound, which is a separate di-n-butylamine or a mixture of di-n-butylamine with di-n-propylamine, taken in molar ratio of 1:2, with subsequent crystallisation of the prepared mixture in hydrothermal conditions, necessary for formation of zeolite-like crystals with SAPO-31 structure, filtration, washing, drying, calcination and further introduction of a modifying group VIII metal. Also described is a method of producing diesel fuel from natural raw material at high temperature and hydrogen pressure in the presence of a catalyst, where the process is carried out in a single step and the catalyst used is crystalline silico aluminiumphosphate with a zeolite-like SAPO-31 structure, modified by a group VIII metal, obtained using the above described method. Chemistry. High catalyst activity during hydrogenation of unsaturated hydrocarbons and ether bonds, as well as in decarbonation reactions and isomerisation formed paraffins with normal structure with high selectivity towards isomer products and with reduced formation of heavy compounds and cracking starting material; process of producing diesel fuel is carried out in a single step. 5 cl, 9 ex Invention relates to a method of producing engine fuel, more specifically to a catalyst process of producing diesel fuel with improved temperature characteristics from crude oil. A method is described for preparing a catalyst for producing diesel fuel from natural raw material based on crystalline silico aluminophosphates with zeolite-like structure of the SAPO-31 type by preparing an aqeous reaction mixture which contains an aluminium source, phosphoric acid and a silicon source, as well as an organic structure forming compound, and with total composition expressed in molar ratios: R/Al2O3=0.5-2.0, P2O5/Al2O3=0.8-1.2, SiO2/Al2O3=0.05-1.5, H2O/Al2O3=15-200, where: R is an organic structure forming compound, which is a separate di-n-butylamine or a mixture of di-n-butylamine with di-n-propylamine, taken in molar ratio of 1:2, with subsequent crystallisation of the prepared mixture in hydrothermal conditions, necessary for formation of zeolite-like crystals with SAPO-31 structure, filtration, washing, drying, calcination and further introduction of a modifying group VIII metal. Also described is a method of producing diesel fuel from natural raw material at high temperature and hydrogen pressure in the presence of a catalyst, where the process is carried out in a single step and the catalyst used is crystalline silico aluminiumphosphate with a zeolite-like SAPO-31 structure, modified by a group VIII metal, obtained using the above described method. Chemistry. High catalyst activity during hydrogenation of unsaturated hydrocarbons and ether bonds, as well as in decarbonation reactions and isomerisation formed paraffins with normal structure with high selectivity towards isomer products and with reduced formation of heavy compounds and cracking starting material; process of producing diesel fuel is carried out in a single step. 5 cl, 9 ex"	""
"87"	"87"	"Patent Document 0002377067.zip"	""	""	""
"88"	"88"	"Patent Document 0002378322.zip"	""	""	""
"89"	"89"	"Patent Document 0002381258.zip"	"Method for hydraulic treatment of diesel distillates, involves sending heavy diesel fraction mixed with hydrogen-containing gas to upper part of hydraulic treatment reactor and passing through layer of aluminium-nickel-molybdenum catalyst METHOD HYDRAULIC TREAT DIESEL DISTIL SEND HEAVY FRACTION MIX HYDROGEN CONTAIN GAS UPPER PART REACTOR PASS THROUGH LAYER ALUMINIUM NICKEL MOLYBDENUM CATALYST Method for hydraulic treatment of diesel distillates, involves sending heavy diesel fraction mixed with hydrogen-containing gas to upper part of hydraulic treatment reactor and passing through layer of aluminium-nickel-molybdenum catalyst"	"Invention is related to oil-refining industry and may be used for refinement of diesel distillates. Invention is related to method for hydraulic treatment of diesel distillates by rectification of initial raw materials with separation into light and heavy diesel fractions. Heavy diesel fraction mixed with hydrogen-containing gas is sent to upper part of hydraulic treatment reactor and is passed through a layer of aluminium-nickel-molybdenum or aluminium-cobalt-molybdenum catalyst at high temperature and pressure with supply of cooling agent, such as light diesel fraction, which is supplied into hydraulic treatment reactor in one or several points along catalyst layer height, moreover, points of cooling agent supply are located along raw materials motion between 10 vol. % and 50 vol. % of catalyst charge. Technological processes. Invention provides for required extent of initial raw materials purification and control of temperature in reaction zone. 4 cl, 3 ex Invention is related to oil-refining industry and may be used for refinement of diesel distillates. Invention is related to method for hydraulic treatment of diesel distillates by rectification of initial raw materials with separation into light and heavy diesel fractions. Heavy diesel fraction mixed with hydrogen-containing gas is sent to upper part of hydraulic treatment reactor and is passed through a layer of aluminium-nickel-molybdenum or aluminium-cobalt-molybdenum catalyst at high temperature and pressure with supply of cooling agent, such as light diesel fraction, which is supplied into hydraulic treatment reactor in one or several points along catalyst layer height, moreover, points of cooling agent supply are located along raw materials motion between 10 vol. % and 50 vol. % of catalyst charge. Technological processes. Invention provides for required extent of initial raw materials purification and control of temperature in reaction zone. 4 cl, 3 ex"	""
